hp_diff,hazards_active,is_late_game,action
-20.871401611598728,0,0,0
57.45454545454545,0,0,0
47.63636363636363,0,0,0
37.094632330127205,0,0,1
42.08129072292895,0,0,0
46.54545454545455,0,0,0
80.36363636363636,0,0,0
65.81818181818181,0,0,0
12.230215827338128,0,0,0
21.94244604316546,0,1,1
-54.20160570918823,0,1,0
-94.3609022556391,0,1,1
-27.868852459016395,0,1,0
0.0,0,0,0
-74.81059725772717,0,0,0
8.461538461538467,0,0,1
-63.5042735042735,0,0,0
12.307692307692307,0,0,1
-11.909438079650847,0,0,0
-20.598290598290596,0,0,1
-8.575699918456095,0,0,0
0.0,0,0,1
-12.624364082901035,0,0,0
-10.285167956755956,0,0,0
12.320916905444122,0,1,0
6.303724928366762,0,1,0
27.79369627507164,0,1,0
42.97994269340975,0,1,0
-23.493523047926175,0,1,1
24.585635359116026,0,1,0
18.508287292817684,0,1,1
-11.836109206758884,0,1,0
0.6129773762955182,0,1,0
-6.569343065693431,0,1,0
