battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-95911,V1_B_6b50,16,0,crabominable|greattusk|plusle|screamtail|toxtricitylowkey|vivillonocean,entei|espeon|hydrapple|miniororange|oricoriopompom|quagsire,6,3,
battle-gen9randomdoublesbattle-95912,V1_A_6b50,21,1,azelf|blissey|cloyster|corviknight|meowstic|ragingbolt,bronzong|dewgong|electrodehisui|fluttermane|leavanny|meloetta,3,6,
battle-gen9randomdoublesbattle-95913,V1_B_6b50,12,0,granbull|mimikyubusted|rotommow|sandaconda|toedscruel|volcarona,crawdaunt|dragapult|gardevoir|magmortar|regirock|seviper,6,4,
battle-gen9randomdoublesbattle-95914,V1_B_6b50,15,0,arbok|calyrexshadow|palossand|passimian|rillaboom|tauros,gastrodoneast|glimmora|lokix|lucario|spectrier|virizion,6,3,
battle-gen9randomdoublesbattle-95915,V1_B_6b50,16,0,chimecho|floatzel|kilowattrel|overqwil|skeledirge|yanmega,garchomp|golurk|infernape|lugia|talonflame|tentacruel,6,2,
battle-gen9randomdoublesbattle-95916,V1_A_6b50,12,1,ariados|braviaryhisui|carbink|lanturn|okidogi|toucannon,cramorant|crawdaunt|medicham|ninetales|smeargle|toedscruel,3,6,
battle-gen9randomdoublesbattle-95917,V1_B_6b50,11,0,fezandipiti|gardevoir|golduck|meowscarada|regidrago|sceptile,exeggutor|farigiraf|glastrier|heatran|lucario|mukalola,6,1,
battle-gen9randomdoublesbattle-95918,V1_A_6b50,19,1,floatzel|glaceon|masquerain|raichu|samurotthisui|zoroark,charizard|cinccino|hariyama|krookodile|magmar|scrafty,4,6,
battle-gen9randomdoublesbattle-95919,V1_B_6b50,11,0,florgesyellow|furret|lilliganthisui|magnezone|perrserker|wugtrio,basculinbluestriped|baxcalibur|dusknoir|farigiraf|palossand|porygonz,6,3,
battle-gen9randomdoublesbattle-95920,V1_B_6b50,27,0,brambleghast|calyrexice|jolteon|luvdisc|pyroar|solgaleo,armarouge|crawdaunt|medicham|morpeko|terapagos|venomoth,6,5,
battle-gen9randomdoublesbattle-95921,V1_B_6b50,25,0,gallade|inteleon|porygonz|sawsbucksummer|venusaur|zamazentacrowned,masquerain|morpeko|poliwrath|sableye|sceptile|toucannon,6,5,
battle-gen9randomdoublesbattle-95922,V1_B_6b50,27,0,clawitzer|electabuzz|gumshoos|mew|swampert|volbeat,eternatus|magearna|reuniclus|seviper|terapagos|tropius,6,5,
battle-gen9randomdoublesbattle-95923,V1_B_6b50,14,0,bruxish|cetitan|cinderace|kingdra|lokix|miraidon,gogoat|hypno|noctowl|oranguru|poliwrath|tropius,6,2,
battle-gen9randomdoublesbattle-95924,V1_B_6b50,13,0,ampharos|azumarill|deoxysattack|probopass|serperior|slitherwing,azumarill|cyclizar|drednaw|gougingfire|mabosstiff|skeledirge,6,2,
battle-gen9randomdoublesbattle-95925,V1_B_6b50,19,0,corviknight|decidueye|mew|politoed|rhyperior|ursalunabloodmoon,decidueyehisui|dipplin|excadrill|gholdengo|hawlucha|houndoom,6,4,
battle-gen9randomdoublesbattle-95926,V1_A_6b50,16,1,dachsbun|froslass|golurk|greninja|magnezone|palkiaorigin,cinccino|lunala|shaymin|skeledirge|terrakion|toxicroak,5,6,
battle-gen9randomdoublesbattle-95927,V1_A_6b50,13,1,appletun|arceusrock|falinks|forretress|lilligant|zoroark,alcremielemoncream|camerupt|delibird|lurantis|sinistcha|sylveon,3,6,
battle-gen9randomdoublesbattle-95928,V1_B_6b50,15,0,alcremiesaltedcream|bruxish|chienpao|kyogre|persianalola|pikachu,camerupt|cinccino|diancie|palkia|reuniclus|terapagos,6,5,
battle-gen9randomdoublesbattle-95929,V1_B_6b50,17,0,azumarill|dugtrio|hooh|leafeon|rotomwash|sneasler,ampharos|avalugghisui|dragonite|gogoat|grumpig|regice,6,2,
battle-gen9randomdoublesbattle-95930,V1_A_6b50,12,1,dragalge|hitmonlee|ironvaliant|staraptor|tatsugiri|tornadustherian,chesnaught|cobalion|drednaw|mausholdfour|palkia|tornadus,4,6,
battle-gen9randomdoublesbattle-95931,V1_A_6b50,23,1,bombirdier|clefairy|grumpig|ironboulder|persianalola|torkoal,deoxysattack|hitmontop|honchkrow|shiftry|vikavolt|weezing,3,6,
battle-gen9randomdoublesbattle-95932,V1_A_6b50,13,1,beartic|dialgaorigin|gastrodoneast|koraidon|mamoswine|zaciancrowned,excadrill|garchomp|keldeoresolute|kleavor|masquerain|wugtrio,5,6,
battle-gen9randomdoublesbattle-95933,V1_B_6b50,15,0,arboliva|ceruledge|feraligatr|milotic|persianalola|vileplume,carbink|ironbundle|ironleaves|ursalunabloodmoon|urshifu|zekrom,6,2,
battle-gen9randomdoublesbattle-95934,V1_A_6b50,20,1,galvantula|maushold|suicune|sylveon|toxtricity|whiscash,dedenne|hitmonlee|magmortar|slowbro|tatsugiri|tornadustherian,3,6,
battle-gen9randomdoublesbattle-95935,V1_B_6b50,15,0,blaziken|rhydon|sceptile|slowbrogalar|suicune|venusaur,arbok|camerupt|diancie|granbull|hydrapple|ironjugulis,6,5,
battle-gen9randomdoublesbattle-95936,V1_B_6b50,14,0,fluttermane|haxorus|spiritomb|swampert|wugtrio|zekrom,cinderace|forretress|gliscor|latias|perrserker|pyroar,6,5,
battle-gen9randomdoublesbattle-95937,V1_B_6b50,9,0,excadrill|ironjugulis|lurantis|mightyena|pachirisu|vileplume,crawdaunt|grafaiai|medicham|sinistcha|walkingwake,6,3,
battle-gen9randomdoublesbattle-95938,V1_B_6b50,17,0,espathra|gastrodon|grafaiai|oranguru|regidrago|stonjourner,cloyster|frosmoth|hitmonchan|kommoo|mabosstiff|probopass,6,4,
battle-gen9randomdoublesbattle-95939,V1_B_6b50,12,0,flapple|gastrodoneast|glalie|hitmonlee|latias|toxicroak,abomasnow|avalugghisui|basculegionf|espathra|eternatus|luvdisc,6,5,
battle-gen9randomdoublesbattle-95940,V1_A_6b50,18,1,dudunsparcethreesegment|houndoom|sandyshocks|tinkaton|tropius|wugtrio,fezandipiti|flapple|poliwrath|skuntank|sudowoodo|whiscash,5,6,
battle-gen9randomdoublesbattle-95941,V1_B_6b50,13,0,bruxish|glalie|ironmoth|landorus|sandaconda|skuntank,arceuselectric|flygon|galvantula|lumineon|okidogi|rampardos,6,4,
battle-gen9randomdoublesbattle-95942,V1_B_6b50,13,0,ambipom|conkeldurr|corviknight|deoxys|gumshoos|mabosstiff,breloom|dodrio|inteleon|palkia|regigigas|seviper,6,3,
battle-gen9randomdoublesbattle-95943,V1_A_6b50,17,1,dugtrio|eelektross|fezandipiti|ironvaliant|passimian|wugtrio,bellossom|hitmonchan|ironboulder|klawf|suicune|torterra,4,6,
battle-gen9randomdoublesbattle-95944,V1_A_6b50,17,1,brambleghast|garganacl|gholdengo|greedent|muk|staraptor,cacturne|chandelure|indeedee|kilowattrel|suicune|swalot,1,6,
battle-gen9randomdoublesbattle-95945,V1_A_6b50,17,1,gholdengo|leafeon|smeargle|uxie|zangoose|zapdos,gastrodon|houndoom|oranguru|raikou|samurott|toxicroak,4,6,
battle-gen9randomdoublesbattle-95946,V1_B_6b50,16,0,eelektross|manaphy|moltres|phione|plusle|porygon2,passimian|sceptile|skuntank|vivillon|wigglytuff|zamazentacrowned,6,3,
battle-gen9randomdoublesbattle-95947,V1_A_6b50,11,1,delphox|hitmontop|metagross|oinkologne|terrakion|wugtrio,cinderace|copperajah|cramorant|dewgong|golurk|hitmonchan,3,6,
battle-gen9randomdoublesbattle-95948,V1_B_6b50,21,0,indeedeef|infernape|kricketune|solgaleo|whiscash|zebstrika,archaludon|gastrodoneast|grimmsnarl|irontreads|taurospaldeablaze|vaporeon,6,5,
battle-gen9randomdoublesbattle-95949,V1_A_6b50,25,1,ampharos|azelf|calyrex|clodsire|mamoswine|salazzle,ceruledge|clawitzer|flareon|luvdisc|mandibuzz|spiritomb,3,6,
battle-gen9randomdoublesbattle-95950,V1_B_6b50,28,0,magmar|persianalola|salamence|sandaconda|weezing|wochien,dipplin|klefki|luxray|mew|palossand|spidops,6,3,
battle-gen9randomdoublesbattle-95951,V1_B_6b50,10,0,arboliva|baxcalibur|excadrill|forretress|plusle|typhlosion,delphox|eiscue|espathra|passimian|revavroom|toxicroak,6,4,
battle-gen9randomdoublesbattle-95952,V1_B_6b50,22,0,dachsbun|electabuzz|garganacl|ironvaliant|polteageist|wochien,arboliva|ironmoth|mewtwo|perrserker|phione|regigigas,6,3,
battle-gen9randomdoublesbattle-95953,V1_B_6b50,10,0,blaziken|garchomp|houndstone|meganium|milotic|okidogi,bellibolt|furret|glaceon|quaquaval|scovillain|weezinggalar,6,1,
battle-gen9randomdoublesbattle-95954,V1_A_6b50,17,1,braviary|dachsbun|decidueye|farigiraf|mudsdale|phione,archaludon|blaziken|bruxish|farigiraf|gholdengo|umbreon,4,6,
battle-gen9randomdoublesbattle-95955,V1_B_6b50,19,0,delibird|eiscuenoice|munkidori|passimian|serperior|vaporeon,bellossom|chesnaught|dachsbun|glaceon|infernape|sandyshocks,6,4,
