opponent,paradigm,v1,v1_n,v2,v2_n,v3,v3_n,v4,v4_n,v5,v5_n,v6,v6_n,v7,v7_n,v8,v8_n,v9,v9_n,v10,v10_n,v11,v11_n,v12,v12_n,v13,v13_n,v14,v14_n
v2,Heuristic,49.12,10000,50.13,10000,50.94,10000,50.73,10000,51.08,10000,50.64,10000,61.47,10000,62.14,10000,64.69,10000,62.6,10000,64.82,10000,76.33,10000,73.14,10000,67.07,10000
v3,Heuristic,49.08,10000,49.58,10000,50.82,10000,51.37,10000,51.1,10000,50.53,10000,60.46,10000,61.59,10000,64.27,10000,62.69,10000,65.71,10000,75.53,10000,73.16,10000,67.41,10000
v4,Heuristic,47.59,10000,49.1,10000,48.9,10000,50.14,10000,50.69,10000,49.5,10000,59.72,10000,60.97,10000,63.69,10000,61.11,10000,65.16,10000,75.81,10000,72.87,10000,68.15,10000
v5,Heuristic,47.75,10000,48.73,10000,48.47,10000,49.66,10000,50.11,10000,49.06,10000,59.01,10000,61.39,10000,64.49,10000,61.46,10000,64.44,10000,74.87,10000,72.23,10000,65.67,10000
v6,Heuristic,48.81,10000,49.58,10000,48.76,10000,51.32,10000,52.07,10000,49.84,10000,61.31,10000,62.23,10000,64.7,10000,61.96,10000,64.62,10000,76.09,10000,73.04,10000,66.9,10000
v7,Heuristic,38.97,10000,37.55,10000,38.6,10000,39.72,10000,40.1,10000,39.32,10000,50.24,10000,51.61,10000,55.11,10000,50.68,10000,55.51,10000,68.48,10000,66.49,10000,58.9,10000
v8,Heuristic,37.4,10000,36.69,10000,38.18,10000,39.35,10000,38.74,10000,38.78,10000,48.84,10000,49.92,10000,53.58,10000,50.55,10000,54.32,10000,67.3,10000,65.42,10000,57.87,10000
v9,Heuristic,35.14,10000,34.96,10000,35.45,10000,35.08,10000,36.36,10000,36.13,10000,45.29,10000,46.8,10000,50.32,10000,46.69,10000,50.48,10000,61.52,10000,57.87,10000,54.01,10000
v15,Minimax,39.23,10000,40.23,10000,39.5,10000,40.42,10000,41.49,10000,40.22,10000,51.07,10000,51.36,10000,55.39,10000,52.82,10000,57.24,10000,63.96,10000,67.59,10000,60.07,10000
v16,Minimax,38.74,10000,39.84,10000,39.79,10000,40.34,10000,41.05,10000,40.35,10000,50.37,10000,51.94,10000,55.99,10000,51.71,10000,56.04,10000,63.3,10000,66.81,10000,59.34,10000
v17,Minimax,35.91,10000,35.55,10000,36.11,10000,36.59,10000,36.44,10000,36.22,10000,45.78,10000,47.54,10000,50.84,10000,47.95,10000,51.09,10000,60.37,10000,64.12,10000,56.7,10000
v18,MCTS,36.5,1000,35.3,1000,39.7,1000,38.3,1000,41.4,1000,37.2,1000,50.1,1000,50.2,1000,56.4,1000,51.5,1000,56.2,1000,66.1,1000,67.7,1000,59.8,1000
v19,MCTS,37.8,1000,40.5,1000,40.3,1000,39.4,1000,40.8,1000,39.7,1000,48.0,1000,52.5,1000,56.0,1000,51.7,1000,56.2,1000,64.5,1000,67.1,1000,58.2,1000
v20,MCTS,28.8,1000,35.2,1000,35.4,1000,32.6,1000,32.7,1000,34.6,1000,42.7,1000,44.4,1000,46.9,1000,43.3,1000,50.6,1000,58.5,1000,61.4,1000,53.7,1000
v21,IL Hybrid,34.19,10000,34.81,10000,34.91,10000,35.96,10000,36.55,10000,35.55,10000,44.83,10000,46.61,10000,49.95,10000,47.26,10000,50.12,10000,59.12,10000,62.46,10000,54.74,10000
v22,IL Pure,65.72,10000,66.19,10000,65.29,10000,66.23,10000,67.26,10000,66.57,10000,70.49,10000,71.23,10000,75.65,10000,72.7,10000,76.18,10000,80.79,10000,78.31,10000,74.87,10000
