battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-7595,v1,random,v1Ad73f2ab1p8001,1,16,cinderace|hippowdon|ironhands|quaquaval|rillaboom|typhlosionhisui,hypno|komala|masquerain|slaking|slitherwing|suicune,3,3,2.408,6,0,0.0
battle-gen9randombattle-7596,v1,random,v1Ad73f2ab1p8001,1,26,ampharos|dachsbun|golurk|hatterene|lapras|palkiaorigin,cetitan|drednaw|fezandipiti|mandibuzz|morpeko|samurott,2,4,3.762,6,0,0.0
battle-gen9randombattle-7597,v1,random,v1Ad73f2ab1p8001,1,33,kilowattrel|ludicolo|mamoswine|smeargle|umbreon|wyrdeer,arcanine|hippowdon|inteleon|ribombee|sceptile|toxapex,2,4,3.088,6,0,0.0
battle-gen9randombattle-7598,v1,random,v1Ad73f2ab1p8001,1,8,comfey|leavanny|malamar|pelipper|poliwrath|tsareena,braviaryhisui|deoxys|dugtrioalola|flygon|ludicolo|tyranitar,0,6,5.404,6,0,0.0
battle-gen9randombattle-7599,v1,random,v1Ad73f2ab1p8001,1,22,drednaw|ironjugulis|lunala|magcargo|pachirisu|whimsicott,amoonguss|calyrexshadow|comfey|gurdurr|jumpluff|solgaleo,0,6,5.466,6,0,0.0
battle-gen9randombattle-7600,v1,random,v1Ad73f2ab1p8001,1,25,archaludon|dedenne|flareon|greedent|lokix|zapdosgalar,azelf|honchkrow|muk|politoed|taurospaldeacombat|vigoroth,3,3,3.0,6,0,0.0
battle-gen9randombattle-7601,v1,random,v1Ad73f2ab1p8001,1,40,chandelure|chesnaught|galvantula|kleavor|mismagius|solgaleo,hariyama|ironhands|lapras|lugia|magearnaoriginal|phione,2,4,4.0,6,0,0.0
battle-gen9randombattle-7602,v1,random,v1Ad73f2ab1p8001,1,20,glimmora|mightyena|misdreavus|pikachuunova|scyther|taurospaldeablaze,hypno|luxray|meowscarada|mewtwo|sudowoodo|vaporeon,2,4,3.115,6,0,0.0
battle-gen9randombattle-7603,v1,random,v1Ad73f2ab1p8001,1,19,electivire|indeedeef|mewtwo|moltresgalar|ogerpon|squawkabillywhite,blissey|eternatus|hippowdon|vigoroth|weezing|zamazenta,4,2,1.265,6,0,0.0
battle-gen9randombattle-7604,v1,random,v1Ad73f2ab1p8001,1,55,araquanid|bellossom|meowscarada|orthworm|skeledirge|toxapex,banette|bisharp|cobalion|girafarig|palkiaorigin|politoed,2,4,3.715,6,0,0.0
battle-gen9randombattle-7605,v1,random,v1Ad73f2ab1p8001,1,13,decidueye|fluttermane|hitmontop|landorus|pachirisu|torkoal,beartic|coalossal|medicham|qwilfish|torterra|vikavolt,2,4,3.039,6,0,0.0
battle-gen9randombattle-7606,v1,random,v1Ad73f2ab1p8001,1,10,araquanid|chandelure|dunsparce|ironthorns|mienshao|slowkinggalar,ditto|flamigo|ironjugulis|krookodile|mausholdfour|palafin,1,5,4.301,6,0,0.0
battle-gen9randombattle-7607,v1,random,v1Ad73f2ab1p8001,1,20,bellossom|dodrio|electrodehisui|fezandipiti|indeedee|tatsugiri,eelektross|glalie|greedent|phione|rayquaza|zebstrika,3,3,2.719,6,0,0.0
battle-gen9randombattle-7608,v1,random,v1Ad73f2ab1p8001,1,21,arboliva|cloyster|lunala|reshiram|rhyperior|suicune,beartic|dudunsparcethreesegment|gholdengo|hooh|palafinhero|staraptor,2,4,3.324,6,0,0.0
battle-gen9randombattle-7609,v1,random,v1Ad73f2ab1p8001,1,30,abomasnow|annihilape|bellibolt|noivern|talonflame|whiscash,archaludon|bellossom|cryogonal|dondozo|pikachualola|scrafty,2,4,4.0,6,0,0.0
battle-gen9randombattle-7610,v1,random,v1Ad73f2ab1p8001,1,27,falinks|inteleon|ironboulder|ironmoth|oranguru|rotomwash,arceusice|decidueyehisui|farigiraf|ironboulder|ludicolo|suicune,1,5,5.0,6,0,0.0
battle-gen9randombattle-7611,v1,random,v1Ad73f2ab1p8001,1,100,banette|flareon|moltresgalar|swampert|vaporeon|zekrom,abomasnow|banette|oricoriopau|vaporeon|vespiquen|zekrom,2,4,3.681,6,0,0.0
battle-gen9randombattle-7612,v1,random,v1Ad73f2ab1p8001,1,62,chimecho|dragapult|forretress|irontreads|krookodile|volbeat,annihilape|cresselia|hoopa|keldeoresolute|kingdra|terapagosstellar,1,5,5.0,6,0,0.0
battle-gen9randombattle-7613,v1,random,v1Ad73f2ab1p8001,1,14,altaria|arceusbug|blissey|hypno|keldeoresolute|virizion,ampharos|calyrexice|glastrier|incineroar|necrozmaduskmane|tauros,3,3,2.964,6,0,0.0
battle-gen9randombattle-7614,v1,random,v1Ad73f2ab1p8001,1,19,delibird|hypno|lapras|mimikyu|regigigas|sandaconda,barraskewda|cacturne|cetitan|hitmonlee|kommoo|smeargle,0,6,5.415,6,0,0.0
battle-gen9randombattle-7615,v1,random,v1Ad73f2ab1p8001,1,19,clefable|hitmontop|ironjugulis|kilowattrel|rabsca|rillaboom,dialgaorigin|electrode|sunflora|swampert|victreebel|zacian,2,4,3.5,6,0,0.0
battle-gen9randombattle-7616,v1,random,Oppd73f2ab1p8001,0,33,clodsire|dipplin|incineroar|mamoswine|raichualola|sunflora,abomasnow|glastrier|kyogre|oinkologne|vikavolt|walkingwake,6,0,0.0,5,1,1.0
battle-gen9randombattle-7617,v1,random,v1Ad73f2ab1p8001,1,26,dusknoir|kingambit|lilligant|luvdisc|rhyperior|swalot,falinks|ironmoth|mightyena|vigoroth|vileplume|zekrom,4,2,2.0,6,0,0.0
battle-gen9randombattle-7618,v1,random,v1Ad73f2ab1p8001,1,16,flamigo|golem|lucario|regidrago|regigigas|scizor,arceusgrass|honchkrow|klefki|mienshao|miraidon|ninetales,2,4,3.608,6,0,0.0
battle-gen9randombattle-7619,v1,random,v1Ad73f2ab1p8001,1,17,carbink|jirachi|sandaconda|slaking|stonjourner|zarudedada,corviknight|minun|ogerponcornerstone|persian|revavroom|staraptor,1,5,4.206,6,0,0.0
battle-gen9randombattle-7620,v1,random,v1Ad73f2ab1p8001,1,13,dedenne|lurantis|oranguru|tentacruel|volbeat|zamazentacrowned,brutebonnet|bruxish|carbink|entei|rotomfrost|ursalunabloodmoon,0,6,5.553,6,0,0.0
battle-gen9randombattle-7621,v1,random,v1Ad73f2ab1p8001,1,30,bellossom|froslass|gholdengo|indeedeef|noctowl|sandaconda,araquanid|eelektross|kingdra|mienshao|passimian|solgaleo,2,4,3.471,6,0,0.0
battle-gen9randombattle-7622,v1,random,v1Ad73f2ab1p8001,1,21,gothitelle|hawlucha|lugia|pecharunt|pyroar|registeel,dondozo|galvantula|gumshoos|hippowdon|mabosstiff|raikou,3,3,2.331,6,0,0.0
