battle_id,winner,turns,won
battle-gen9randomdoublesbattle-50366,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50367,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50368,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50369,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50370,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50371,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50372,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50373,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50374,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50375,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50376,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50377,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50378,VGC_A_2019,30,1
battle-gen9randomdoublesbattle-50379,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50380,VGC_A_2019,11,1
battle-gen9randomdoublesbattle-50381,VGC_A_2019,28,1
battle-gen9randomdoublesbattle-50382,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50383,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50384,VGC_A_2019,10,1
battle-gen9randomdoublesbattle-50385,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50386,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50387,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50388,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50389,VGC_B_2019,25,0
battle-gen9randomdoublesbattle-50390,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50391,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50392,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50393,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50394,VGC_B_2019,9,0
battle-gen9randomdoublesbattle-50395,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50396,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50397,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50398,VGC_A_2019,31,1
battle-gen9randomdoublesbattle-50399,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50400,VGC_A_2019,31,1
battle-gen9randomdoublesbattle-50401,VGC_B_2019,22,0
battle-gen9randomdoublesbattle-50402,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50403,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50404,VGC_B_2019,27,0
battle-gen9randomdoublesbattle-50405,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50406,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50407,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50408,VGC_A_2019,21,1
battle-gen9randomdoublesbattle-50409,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50410,VGC_B_2019,25,0
battle-gen9randomdoublesbattle-50411,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50412,VGC_A_2019,11,1
battle-gen9randomdoublesbattle-50413,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50414,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50415,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50416,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50417,VGC_A_2019,9,1
battle-gen9randomdoublesbattle-50418,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50419,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50420,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50421,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50422,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50423,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50424,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50425,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50426,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50427,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50428,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50429,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50430,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50431,VGC_B_2019,25,0
battle-gen9randomdoublesbattle-50432,VGC_B_2019,22,0
