battle_id,winner,turns,won
battle-gen9randomdoublesbattle-32233,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32234,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32235,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32236,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32237,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32238,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32239,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32240,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32241,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32242,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32243,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32244,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32245,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32246,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32247,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32248,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32249,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32250,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32251,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32252,VGC_A_7cd9,22,1
battle-gen9randomdoublesbattle-32253,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32254,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32255,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32256,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32257,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32258,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32259,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32260,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32261,VGC_A_7cd9,29,1
battle-gen9randomdoublesbattle-32262,VGC_A_7cd9,22,1
battle-gen9randomdoublesbattle-32263,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32264,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32265,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32266,VGC_B_7cd9,10,0
battle-gen9randomdoublesbattle-32267,VGC_B_7cd9,29,0
battle-gen9randomdoublesbattle-32268,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32269,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32270,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32271,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32272,VGC_B_7cd9,23,0
battle-gen9randomdoublesbattle-32273,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32274,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32275,VGC_B_7cd9,8,0
battle-gen9randomdoublesbattle-32276,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32277,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32278,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32279,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32280,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32281,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32282,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32283,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32284,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32285,VGC_A_7cd9,10,1
battle-gen9randomdoublesbattle-32286,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32287,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32288,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32289,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32290,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32291,VGC_B_7cd9,20,0
battle-gen9randomdoublesbattle-32292,VGC_B_7cd9,8,0
battle-gen9randomdoublesbattle-32293,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32294,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32295,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32296,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32297,VGC_B_7cd9,23,0
battle-gen9randomdoublesbattle-32298,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32299,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32300,VGC_B_7cd9,24,0
battle-gen9randomdoublesbattle-32301,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32302,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32303,VGC_A_7cd9,10,1
battle-gen9randomdoublesbattle-32304,VGC_B_7cd9,20,0
battle-gen9randomdoublesbattle-32305,VGC_A_7cd9,26,1
battle-gen9randomdoublesbattle-32306,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32307,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32308,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32309,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32310,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32311,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32312,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32313,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32314,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32315,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32316,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32317,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32318,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32319,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32320,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32321,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32322,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32323,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32324,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32325,VGC_B_7cd9,21,0
battle-gen9randomdoublesbattle-32326,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32327,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32328,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32329,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32330,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32331,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32332,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32333,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32334,VGC_B_7cd9,34,0
battle-gen9randomdoublesbattle-32335,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32336,VGC_A_7cd9,26,1
battle-gen9randomdoublesbattle-32337,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32338,VGC_B_7cd9,10,0
battle-gen9randomdoublesbattle-32339,VGC_A_7cd9,9,1
battle-gen9randomdoublesbattle-32340,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32341,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32342,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32343,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32344,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32345,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32346,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32347,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32348,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32349,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32350,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32351,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32352,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32353,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32354,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32355,VGC_A_7cd9,44,1
battle-gen9randomdoublesbattle-32356,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32357,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32358,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32359,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32360,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32361,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32362,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32363,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32364,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32365,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32366,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32367,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32368,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32369,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32370,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32371,VGC_B_7cd9,35,0
battle-gen9randomdoublesbattle-32372,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32373,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32374,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32375,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32376,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32377,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32378,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32379,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32380,VGC_B_7cd9,13,0
