battle_id,winner,turns,team_us,team_opp
battle-gen9randomdoublesbattle-123316,us,17,avalugghisui|brambleghast|flareon|magmar|vigoroth|vileplume,galvantula|indeedee|pincurchin|qwilfishhisui|regidrago|yanmega
battle-gen9randomdoublesbattle-123317,opp,15,arceusdragon|garchomp|glalie|infernape|revavroom|weezinggalar,arceusfire|copperajah|fezandipiti|garchomp|hatterene|swampert
battle-gen9randomdoublesbattle-123318,us,10,altaria|baxcalibur|gengar|moltres|primarina|tyranitar,electivire|exeggutor|komala|kommoo|pawmot|toedscruel
battle-gen9randomdoublesbattle-123319,opp,13,basculegionf|heracross|kommoo|rotom|sandyshocks|volcarona,exeggutoralola|hoopa|poliwrath|raikou|taurospaldeacombat|torkoal
battle-gen9randomdoublesbattle-123320,us,21,cobalion|dialga|dudunsparce|flapple|plusle|ribombee,espathra|froslass|ironhands|landorus|serperior|zapdos
battle-gen9randomdoublesbattle-123321,opp,15,crawdaunt|gyarados|kleavor|lucario|roaringmoon|spidops,dedenne|dragalge|drifblim|ironbundle|orthworm|rayquaza
battle-gen9randomdoublesbattle-123322,opp,17,excadrill|lumineon|luvdisc|seviper|taurospaldeablaze|tropius,bruxish|cramorant|flapple|grafaiai|hydreigon|pyroar
battle-gen9randomdoublesbattle-123323,us,19,chimecho|coalossal|dialgaorigin|hydreigon|trevenant|weezinggalar,carbink|exeggutoralola|luvdisc|pikachupartner|sandyshocks|vivillonmarine
battle-gen9randomdoublesbattle-123324,opp,19,dusknoir|garganacl|gogoat|grimmsnarl|leavanny|mimikyubusted,chiyu|ditto|donphan|gallade|glalie|munkidori
battle-gen9randomdoublesbattle-123325,opp,30,exeggutoralola|houndoom|meowstic|quaquaval|toucannon|wigglytuff,decidueye|gliscor|gyarados|ludicolo|meowstic|skuntank
battle-gen9randomdoublesbattle-123326,opp,27,charizard|dewgong|grumpig|mimikyubusted|porygon2|typhlosion,alomomola|cetitan|chiyu|ironmoth|mienshao|sceptile
battle-gen9randomdoublesbattle-123327,us,19,bronzong|gastrodon|gyarados|illumise|latias|pikachualola,honchkrow|houndstone|ironthorns|kilowattrel|leafeon|slowbro
battle-gen9randomdoublesbattle-123328,opp,15,ditto|dugtrioalola|hydreigon|ironcrown|meloetta|thundurus,dondozo|espathra|gholdengo|gyarados|serperior|venusaur
battle-gen9randomdoublesbattle-123329,opp,15,cacturne|chandelure|chienpao|feraligatr|irontreads|landorus,hitmontop|meowstic|mienshao|ninetalesalola|primarina|swalot
battle-gen9randomdoublesbattle-123330,opp,17,dipplin|ironhands|klefki|pikachusinnoh|sceptile|weavile,cinccino|enamorus|golurk|leavanny|lunala|ninetales
battle-gen9randomdoublesbattle-123331,us,15,brambleghast|flygon|hitmontop|ironbundle|klawf|meganium,azumarill|falinks|greattusk|hypno|ragingbolt|torterra
battle-gen9randomdoublesbattle-123332,opp,10,eternatus|noivern|solgaleo|staraptor|volcarona|whiscash,lokix|magmar|ogerponcornerstone|wigglytuff|zapdosgalar
battle-gen9randomdoublesbattle-123333,opp,13,galvantula|kleavor|scrafty|uxie|wochien|zangoose,hitmonchan|indeedee|palossand|rabsca|regice
battle-gen9randomdoublesbattle-123334,us,20,clodsire|decidueye|koraidon|mukalola|phione|volcanion,hawlucha|irontreads|politoed|porygon2|veluza|whimsicott
battle-gen9randomdoublesbattle-123335,opp,18,arceusghost|decidueye|magearnaoriginal|slaking|stonjourner|tauros,ironhands|krookodile|latias|leavanny|raikou|registeel
battle-gen9randomdoublesbattle-123336,us,15,ampharos|arceusground|chandelure|fluttermane|irontreads|leafeon,heracross|ironleaves|probopass|rhydon|seviper|vivillonelegant
battle-gen9randomdoublesbattle-123337,opp,9,ambipom|emboar|keldeoresolute|luvdisc|pikachuhoenn|seviper,gastrodoneast|latios|mamoswine|spidops|torkoal|walkingwake
battle-gen9randomdoublesbattle-123338,opp,23,ampharos|gothitelle|reuniclus|scyther|staraptor|volbeat,gothitelle|grimmsnarl|weavile|whiscash|zaciancrowned
battle-gen9randomdoublesbattle-123339,opp,18,camerupt|dedenne|dipplin|metagross|moltresgalar|regigigas,dragonite|enamorustherian|goodrahisui|luvdisc|mukalola|porygonz
battle-gen9randomdoublesbattle-123340,opp,26,dedenne|gumshoos|inteleon|noivern|skeledirge|tinkaton,gougingfire|heatran|mimikyu|ninetalesalola|scyther|toedscruel
battle-gen9randomdoublesbattle-123341,us,13,crabominable|darkrai|grimmsnarl|kyogre|meowstic|swampert,deoxys|fezandipiti|golduck|masquerain|miraidon|ogerponcornerstone
battle-gen9randomdoublesbattle-123342,opp,19,donphan|dugtrioalola|eiscuenoice|magcargo|malamar|palkiaorigin,alcremierubycream|annihilape|chimecho|gogoat|hawlucha|kyurem
battle-gen9randomdoublesbattle-123343,opp,19,ampharos|cramorant|minior|sinistcha|torterra|zoroarkhisui,eiscue|frosmoth|granbull|komala|rayquaza|toxtricitylowkey
battle-gen9randomdoublesbattle-123344,opp,23,avalugg|ironbundle|mabosstiff|mew|screamtail|spidops,dudunsparcethreesegment|mismagius|salazzle|torterra|trevenant|whiscash
battle-gen9randomdoublesbattle-123345,opp,9,basculegionf|drednaw|oranguru|ragingbolt|slaking|zarudedada,coalossal|delibird|gengar|lilligant|miraidon|staraptor
battle-gen9randomdoublesbattle-123346,opp,20,arcanine|dodrio|hitmontop|ragingbolt|toedscruel|venomoth,florgeswhite|gumshoos|latias|oricoriosensu|sandaconda|scovillain
battle-gen9randomdoublesbattle-123347,opp,12,clefable|florgesorange|rayquaza|reshiram|torkoal|toxtricity,araquanid|deoxysspeed|inteleon|magearna|rhydon|zoroark
battle-gen9randomdoublesbattle-123348,opp,17,deoxysspeed|granbull|kyogre|palkiaorigin|sandslash|zacian,cyclizar|donphan|electivire|kricketune|rabsca|toxtricitylowkey
battle-gen9randomdoublesbattle-123349,opp,12,altaria|ceruledge|heracross|jolteon|meowscarada|vikavolt,braviary|florges|koraidon|mew|porygonz|sylveon
battle-gen9randomdoublesbattle-123350,us,18,chienpao|dusknoir|gholdengo|heracross|mienshao|volcarona,articunogalar|duraludon|oinkolognef|palkiaorigin|tsareena|wigglytuff
battle-gen9randomdoublesbattle-123351,opp,11,braviary|bruxish|gougingfire|lucario|skarmory|urshifu,bellossom|clawitzer|emboar|ironhands|mudsdale|sinistchamasterpiece
battle-gen9randomdoublesbattle-123352,us,11,ditto|entei|exeggutoralola|miniororange|staraptor|tentacruel,arboliva|dragalge|houndstone|magearnaoriginal|raichu|rayquaza
battle-gen9randomdoublesbattle-123353,opp,23,hippowdon|lapras|meganium|oranguru|polteageist|swanna,arceuspsychic|eelektross|fezandipiti|plusle|scrafty|spectrier
battle-gen9randomdoublesbattle-123354,us,10,annihilape|blissey|hitmontop|miraidon|mukalola|volcarona,dragapult|furret|incineroar|raichu|regidrago|sneasler
battle-gen9randomdoublesbattle-123355,opp,26,brambleghast|dedenne|houndstone|lycanroc|magmar|staraptor,chandelure|delibird|dialgaorigin|magnezone|meowstic|urshifurapidstrike
battle-gen9randomdoublesbattle-123356,opp,10,calyrexshadow|chandelure|chienpao|clefairy|cryogonal|electivire,baxcalibur|grumpig|keldeoresolute|kyuremblack|skarmory|squawkabillyyellow
battle-gen9randomdoublesbattle-123357,opp,34,ceruledge|honchkrow|infernape|oranguru|rabsca|toxicroak,bronzong|crabominable|dondozo|houndoom|lumineon|oricorio
battle-gen9randomdoublesbattle-123358,opp,18,alomomola|cinccino|gallade|raichualola|sableye|umbreon,conkeldurr|entei|kingdra|klefki|pyroar|virizion
battle-gen9randomdoublesbattle-123359,us,39,eiscuenoice|mamoswine|necrozma|sylveon|thundurus|vileplume,chimecho|forretress|jumpluff|mismagius|perrserker|tauros
battle-gen9randomdoublesbattle-123360,us,13,brambleghast|flygon|grimmsnarl|klawf|lycanroc|solgaleo,braviaryhisui|gogoat|ironboulder|pelipper|ribombee|terrakion
battle-gen9randomdoublesbattle-123361,us,17,alomomola|honchkrow|lurantis|magmar|manaphy|munkidori,diancie|ironboulder|porygonz|serperior|spiritomb|volcanion
battle-gen9randomdoublesbattle-123362,opp,18,clefairy|ironvaliant|jolteon|leavanny|masquerain|salamence,golduck|houndoom|lucario|maushold|raikou|toucannon
battle-gen9randomdoublesbattle-123363,opp,13,ampharos|articunogalar|cryogonal|drednaw|golemalola|mudsdale,hariyama|hoopaunbound|probopass|salamence|swampert
battle-gen9randomdoublesbattle-123364,us,21,florgesorange|minun|mismagius|swanna|walkingwake|zarude,alomomola|cyclizar|hippowdon|kricketune|tatsugiri|zebstrika
battle-gen9randomdoublesbattle-123365,us,17,armarouge|azumarill|blaziken|ninetalesalola|samurott|toedscruel,basculin|ditto|giratina|spectrier|wochien|zangoose
battle-gen9randomdoublesbattle-123366,us,15,alomomola|clawitzer|clodsire|krookodile|maushold|metagross,annihilape|beartic|cacturne|dachsbun|excadrill|murkrow
battle-gen9randomdoublesbattle-123367,us,16,delphox|gumshoos|miraidon|mudsdale|rotomfrost|vigoroth,araquanid|cramorant|infernape|komala|landorustherian|rotommow
battle-gen9randomdoublesbattle-123368,us,22,ceruledge|meowscarada|revavroom|swampert|tyranitar|whimsicott,ironboulder|lugia|manaphy|weezinggalar|whimsicott|yanmega
battle-gen9randomdoublesbattle-123369,us,18,garchomp|ironvaliant|kyuremblack|primarina|pyroar|sandaconda,cryogonal|deoxysdefense|florges|leafeon|magmortar|pyroar
battle-gen9randomdoublesbattle-123370,opp,15,granbull|ironmoth|lunala|oranguru|shaymin|swampert,basculin|dragapult|farigiraf|hariyama|krookodile|quagsire
battle-gen9randomdoublesbattle-123371,opp,34,arceuspsychic|camerupt|lanturn|sandyshocks|shaymin|zamazenta,bellossom|copperajah|deoxysspeed|dodrio|luvdisc|primarina
battle-gen9randomdoublesbattle-123372,opp,15,arceuspoison|cobalion|golduck|regieleki|tsareena|victreebel,arceuswater|carbink|kyuremwhite|scyther|tropius|virizion
